"","Category","Response","Participant","Trial","List","RT","Inv_RT","Invk_RT","zscore_per_pt","SM_term","ProdFreq","LgSUBTLWF","Sensorimotor","Linguistic","PLD","NSyll","Category.RT","Category.RT.secs"
"1","academic subject","economics",64,28,3,3.817,0.261985853,261.9858528,0.45875,"economics",7,2.1,0.029600113,0.270800474,3.65,4,1340.09,0.596
"2","academic subject","maths",46,13,3,2.229,0.448631673,448.6316734,-0.39679,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"3","academic subject","sociology",80,19,3,2.444,0.409165303,409.1653028,0.00882,"sociology",13,1.36,0.026793905,0.520240714,4.15,5,1340.09,0.596
"4","academic subject","english language",25,24,3,5.623,0.17784101,177.8410101,1.79701,"english language",7,NA,NA,0.186139714,6,4,1340.09,0.596
"5","academic subject","english",37,25,3,2.611,0.382995021,382.9950211,-0.58938,"english",9,3.58,NA,0.246499358,2.9,2,1340.09,0.596
"6","academic subject","linguistics",49,21,3,3.861,0.259000259,259.000259,0.37019,"linguistics",3,1.42,0.198167351,0.610936098,4.4,3,1340.09,0.596
"7","academic subject","english",52,26,3,3.005,0.332778702,332.7787022,-0.33513,"english",9,3.58,NA,0.246499358,2.9,2,1340.09,0.596
"8","academic subject","geography",40,2,3,1.737,0.575705239,575.7052389,-0.6721,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"9","academic subject","law",67,8,3,1.866,0.535905681,535.9056806,-0.473,"law",7,3.77,0.029690331,0.224022642,1,1,1340.09,0.596
"10","academic subject","psychology",76,10,3,1.578,0.633713561,633.7135615,-0.95762,"psychology",18,2.45,0.045783366,0.320664156,3.25,4,1340.09,0.596
"11","academic subject","maths",31,27,3,2.953,0.338638673,338.6386725,-0.1231,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"12","academic subject","maths",28,21,3,2.124,0.470809793,470.8097928,-0.66451,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"13","academic subject","geography",61,2,3,3.489,0.286615076,286.615076,0.08394,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"14","academic subject","maths",22,38,3,1.63,0.613496933,613.4969325,-0.46124,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"15","academic subject","geography",55,27,3,2.085,0.479616307,479.616307,-0.73761,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"16","academic subject","maths",70,36,3,2.084,0.479846449,479.8464491,-0.34334,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"17","academic subject","maths",19,33,3,3.422,0.292226768,292.226768,-0.00396,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"18","academic subject","linguistics",58,23,3,2.086,0.479386385,479.3863854,-0.36974,"linguistics",3,1.42,0.198167351,0.610936098,4.4,3,1340.09,0.596
"19","academic subject","biology",79,15,3,1.907,0.524383849,524.383849,-0.733,"biology",14,2.4,0.105161108,0.34467194,2.85,4,1340.09,0.596
"20","alcoholic drink","vodka",69,6,2,3.634,0.275178866,275.1788663,0.16201,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"21","alcoholic drink","beer",60,36,2,5.762,0.17355085,173.5508504,0.52946,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"22","alcoholic drink","vodka",18,15,2,5.11,0.195694716,195.6947162,0.23085,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"23","alcoholic drink","vodka",45,23,2,1.926,0.5192108,519.2107996,-0.87924,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"24","alcoholic drink","bacardi",39,20,2,4.286,0.233317779,233.3177788,0.42231,"bacardi",2,NA,NA,0.54946549,NA,NA,1230.3,1.12562
"25","alcoholic drink","vodka",51,3,2,2.653,0.376931775,376.9317753,-0.17034,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"26","alcoholic drink","vodka",30,23,2,2.315,0.431965443,431.9654428,-0.35904,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"27","alcoholic drink","vodka",63,6,2,1.857,0.538502962,538.5029618,-0.70225,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"28","alcoholic drink","beer",78,28,2,3.177,0.314762354,314.7623544,-0.30355,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"29","alcoholic drink","beer",21,38,2,4.397,0.227427792,227.4277917,0.31178,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"30","alcoholic drink","vodka",72,14,2,2.238,0.446827525,446.8275246,-0.47004,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"31","alcoholic drink","beer",75,34,2,2.138,0.467726848,467.7268475,-0.28423,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"32","alcoholic drink","whiskey",54,18,2,3.314,0.301750151,301.7501509,-0.4055,"whiskey",12,2.92,0.026253757,0.35474257,2.15,2,1230.3,1.12562
"33","alcoholic drink","beer",33,35,2,4.124,0.242483026,242.4830262,-0.35899,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"34","alcoholic drink","red wine",24,37,2,4.815,0.20768432,207.6843198,-0.15472,"wine",7,4.028411461,0.024540561,0.203968861,2,2,1230.3,1.12562
"35","alcoholic drink","vodka",36,29,2,2.488,0.40192926,401.9292605,-0.35031,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"36","alcoholic drink","beer",42,25,2,1.696,0.589622642,589.6226415,-0.65126,"beer",16,3.59,0.023546358,0.205360961,1,1,1230.3,1.12562
"37","alcoholic drink","malibu",48,29,2,2.838,0.352360817,352.3608175,0.40472,"malibu",4,NA,NA,0.524889561,NA,NA,1230.3,1.12562
"38","alcoholic drink","gin",27,36,2,3.499,0.285795942,285.7959417,-0.29082,"gin",13,2.76,0.02933657,0.292208792,1.3,1,1230.3,1.12562
"39","alcoholic drink","vodka",57,2,2,2.078,0.481231954,481.2319538,-0.71755,"vodka",20,2.71,0.015696843,0.293000495,2.85,2,1230.3,1.12562
"40","animal","tiger",45,4,2,3.222,0.310366232,310.3662322,-0.45326,"tiger",10,2.98,0.084399539,0.292877476,1.55,2,619.88,0.61988
"41","animal","cow",54,38,2,2.908,0.343878955,343.8789546,-0.53153,"cow",10,3.11,0.033576105,0.302174336,1,1,619.88,0.61988
"42","animal","dog",75,37,2,1.715,0.583090379,583.090379,-0.37543,"dog",19,3.99,0.01342987,0.227552054,1.45,1,619.88,0.61988
"43","animal","tiger",27,30,2,2.123,0.471031559,471.0315591,-0.67206,"tiger",10,2.98,0.084399539,0.292877476,1.55,2,619.88,0.61988
"44","animal","dog",33,19,2,7.297,0.13704262,137.0426203,0.30748,"dog",19,3.99,0.01342987,0.227552054,1.45,1,619.88,0.61988
"45","animal","hamster",78,39,2,6.466,0.154655119,154.6551191,1.81117,"hamster",7,2.04,0.061309438,0.453650652,2.3,2,619.88,0.61988
"46","animal","penguin",30,20,2,2.719,0.367782273,367.7822729,-0.18207,"penguin",4,2.17,0.08908419,0.392998845,3.65,2,619.88,0.61988
"47","animal","dog",72,15,2,1.998,0.500500501,500.5005005,-0.5573,"dog",19,3.99,0.01342987,0.227552054,1.45,1,619.88,0.61988
"48","animal","dog",69,4,2,1.892,0.528541226,528.5412262,-0.62874,"dog",19,3.99,0.01342987,0.227552054,1.45,1,619.88,0.61988
"49","animal","cat",57,29,2,1.845,0.54200542,542.0054201,-0.88176,"cat",20,3.53,0.014312986,0.252291192,1,1,619.88,0.61988
"50","animal","cat",39,28,2,2.793,0.358037952,358.037952,-0.17557,"cat",20,3.53,0.014312986,0.252291192,1,1,619.88,0.61988
"51","animal","giraffe",21,19,2,3.656,0.273522976,273.5229759,-0.12382,"giraffe",13,1.887,0.112070275,0.397125475,2.95,2,619.88,0.61988
"52","animal","cat",18,19,2,3.431,0.291460216,291.4602157,-0.33775,"cat",20,3.53,0.014312986,0.252291192,1,1,619.88,0.61988
"53","animal","ant",42,28,2,3.151,0.317359568,317.3595684,0.78078,"ant",2,2.44,0.110434098,0.375889333,1.2,1,619.88,0.61988
"54","animal","cow",51,11,2,2.381,0.4199916,419.9916002,-0.32356,"cow",10,3.11,0.033576105,0.302174336,1,1,619.88,0.61988
"55","animal","leopard",63,3,2,1.968,0.508130081,508.1300813,-0.64281,"leopard",5,2.44,0.10314843,0.386409642,1.6,2,619.88,0.61988
"56","animal","pig",48,12,2,2.051,0.48756704,487.5670405,-0.40788,"pig",9,3.3,0.074949882,0.295696991,1,1,619.88,0.61988
"57","animal","cat",60,7,2,2.274,0.439753738,439.7537379,-0.78661,"cat",20,3.53,0.014312986,0.252291192,1,1,619.88,0.61988
"58","art form","painting",17,15,1,3.474,0.287852619,287.8526195,-0.21703,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"59","art form","painting",59,10,1,3.476,0.287686997,287.6869965,-0.36433,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"60","art form","music",53,7,1,2.29,0.436681223,436.6812227,-0.39707,"music",7,3.89,0.327353543,0.203729641,2.05,2,1125.62,1.12562
"61","art form","painting",62,35,1,3.867,0.258598397,258.5983967,0.07326,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"62","art form","painting",68,39,1,3.038,0.329163924,329.1639236,-0.64655,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"63","art form","painting",38,13,1,3.958,0.252652855,252.652855,0.79018,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"64","art form","painting",47,13,1,3.945,0.253485425,253.4854246,0.0116,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"65","art form","painting",56,22,1,2.078,0.481231954,481.2319538,-0.2455,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"66","art form","dance",32,12,1,2.626,0.380807312,380.8073115,0.03711,"dance",7,3.88,0.189712053,0.244296361,1.6,1,1125.62,1.12562
"67","art form","painting",65,2,1,2.596,0.385208012,385.2080123,-0.49522,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"68","art form","music",35,16,1,2.551,0.392003136,392.003136,-0.26066,"music",7,3.89,0.327353543,0.203729641,2.05,2,1125.62,1.12562
"69","art form","painting",20,30,1,2.351,0.425350915,425.3509145,-0.27632,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"70","art form","painting",23,14,1,3.287,0.30422878,304.22878,1.48209,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"71","art form","painting",77,19,1,3.238,0.308832613,308.8326127,0.13355,"painting",14,3.17,0.038649779,0.210622484,1.85,2,1125.62,1.12562
"72","art form","singing",71,32,1,5.758,0.173671414,173.6714137,1.87326,"singing",3,3.36,0.404448368,0.270539154,1.45,2,1125.62,1.12562
"73","art form","drawing",50,8,1,4.02,0.248756219,248.7562189,-0.04703,"drawing",9,2.91,0.047187092,0.248268024,1.9,2,1125.62,1.12562
"74","artistic movement","dance",51,23,2,4.723,0.211729833,211.7298327,0.99569,"dance",3,3.88,0.0468386,0.275738821,1.6,1,1368.7,1.1697
"75","artistic movement","dance",72,6,2,10.674,0.093685591,93.68559116,2.597,"dance",3,3.88,0.0468386,0.275738821,1.6,1,1368.7,1.1697
"76","artistic movement","cubism",18,24,2,3.573,0.279876854,279.8768542,-0.28966,"cubism",4,0.85,0.267779632,0.521484663,3.35,3,1368.7,1.1697
"77","artistic movement","modern art",78,30,2,6.896,0.145011601,145.0116009,2.08765,"modern art",2,NA,NA,0.194173528,3.9,3,1368.7,1.1697
"78","artistic movement","dance",39,6,2,8.402,0.119019281,119.0192811,2.0706,"dance",3,3.88,0.0468386,0.275738821,1.6,1,1368.7,1.1697
"79","artistic movement","realism",69,23,2,11.758,0.085048478,85.04847763,3.84976,"realism",2,1.57,0.090418542,0.411287513,3.25,3,1368.7,1.1697
"80","bathroom fixture","toilet roll holder",36,4,2,2.412,0.414593698,414.5936982,-0.40251,"toilet roll holder",4,NA,NA,0.187695947,4.8,5,1169.7,1.12562
"81","bathroom fixture","toilet",78,5,2,4.371,0.228780599,228.7805994,0.46416,"toilet",13,3.17,0.065695444,0.212269394,2.15,2,1169.7,1.12562
"82","bathroom fixture","toilet",33,18,2,9.124,0.109601052,109.6010522,0.69124,"toilet",13,3.17,0.065695444,0.212269394,2.15,2,1169.7,1.12562
"83","bathroom fixture","mirror",45,13,2,9.173,0.109015589,109.0155892,1.50279,"mirror",9,3.091,0.113947596,0.274761181,1.8,1,1169.7,1.12562
"84","bathroom fixture","toilet roll holder",54,29,2,3.843,0.260213375,260.213375,-0.24129,"toilet roll holder",4,NA,NA,0.187695947,4.8,5,1169.7,1.12562
"85","bathroom fixture","bath",21,20,2,4.169,0.239865675,239.8656752,0.17775,"bath",11,3.2,0.069801829,0.229610217,1,1,1169.7,1.12562
"86","bathroom fixture","shower",30,22,2,2.752,0.363372093,363.372093,-0.16762,"shower",14,3.32,0.115147029,0.193933869,1.25,1,1169.7,1.12562
"87","bathroom fixture","sink",39,1,2,2.089,0.478697942,478.6979416,-0.45749,"sink",13,2.94,0.044649198,0.24307793,1,1,1169.7,1.12562
"88","bathroom fixture","sink",18,21,2,3.021,0.33101622,331.0162198,-0.4766,"sink",13,2.94,0.044649198,0.24307793,1,1,1169.7,1.12562
"89","bathroom fixture","sink",75,6,2,2.278,0.438981563,438.9815628,-0.25405,"sink",13,2.94,0.044649198,0.24307793,1,1,1169.7,1.12562
"90","bathroom fixture","sink",69,12,2,2.552,0.39184953,391.8495298,-0.32915,"sink",13,2.94,0.044649198,0.24307793,1,1,1169.7,1.12562
"91","bathroom fixture","tap",72,17,2,2.385,0.419287212,419.2872117,-0.4166,"tap",4,2.88,0.178449622,0.292944488,1,1,1169.7,1.12562
"92","bathroom fixture","toilet",60,30,2,4.309,0.232072407,232.0724066,-0.01878,"toilet",13,3.17,0.065695444,0.212269394,2.15,2,1169.7,1.12562
"93","bathroom fixture","toilet",42,24,2,2.589,0.386249517,386.2495172,0.22765,"toilet",13,3.17,0.065695444,0.212269394,2.15,2,1169.7,1.12562
"94","bathroom fixture","bathtub",57,15,2,5.68,0.176056338,176.056338,1.821,"bathtub",5,2.49,0.035534032,0.42896089,3.6,2,1169.7,1.12562
"95","bird","pigeon",19,26,3,2.47,0.4048583,404.8582996,-0.3961,"pigeon",13,2.48,0.035882968,0.351507525,2.4,2,596,0.61988
"96","bird","starling",61,36,3,2.683,0.372717108,372.7171077,-0.31477,"starling",2,NA,NA,0.54738537,1.75,2,596,0.61988
"97","bird","hummingbird",67,13,3,1.56,0.641025641,641.025641,-0.60121,"hummingbird",2,1.51,0.024374849,0.557419518,4.75,3,596,0.61988
"98","bird","bluebird",49,28,3,2.143,0.466635558,466.6355576,-0.38587,"bluebird",7,1.6,0.020761691,0.474988999,3.35,2,596,0.61988
"99","bird","eagle",46,25,3,1.911,0.523286238,523.2862376,-0.49071,"eagle",7,2.77,0.031534644,0.324270352,1.7,2,596,0.61988
"100","bird","owl",79,9,3,2.872,0.348189415,348.189415,-0.37242,"owl",7,2.46,0.023909751,0.324695729,1.15,1,596,0.61988
"101","bird","ostrich",80,8,3,1.983,0.504286435,504.2864347,-0.45336,"ostrich",4,1.69,0.045184326,0.429933472,2.9,2,596,0.61988
"102","bird","robin",31,31,3,2.879,0.347342827,347.3428274,-0.15126,"robin",8,3.1,0.035136225,0.314066377,1.8,2,596,0.61988
"103","bird","owl",22,13,3,1.44,0.694444444,694.4444444,-0.62793,"owl",7,2.46,0.023909751,0.324695729,1.15,1,596,0.61988
"104","bird","ostrich",64,34,3,2.937,0.340483487,340.4834866,-0.23311,"ostrich",4,1.69,0.045184326,0.429933472,2.9,2,596,0.61988
"105","bird","pigeon",37,28,3,3.68,0.27173913,271.7391304,-0.18421,"pigeon",13,2.48,0.035882968,0.351507525,2.4,2,596,0.61988
"106","bird","eagle",70,6,3,1.976,0.506072874,506.0728745,-0.37437,"eagle",7,2.77,0.031534644,0.324270352,1.7,2,596,0.61988
"107","bird","bluebird",52,35,3,4.162,0.240269101,240.2691014,0.55791,"bluebird",7,1.6,0.020761691,0.474988999,3.35,2,596,0.61988
"108","bird","eagle",40,34,3,3.969,0.251952633,251.9526329,0.39321,"eagle",7,2.77,0.031534644,0.324270352,1.7,2,596,0.61988
"109","bird","owl",43,36,3,6.857,0.145836372,145.8363716,0.91126,"owl",7,2.46,0.023909751,0.324695729,1.15,1,596,0.61988
"110","bird","blackbird",55,16,3,3.108,0.321750322,321.7503218,0.27878,"blackbird",8,1.63,0.029752173,0.499978627,3.25,2,596,0.61988
"111","bird","canary",58,3,3,2.954,0.338524035,338.5240352,0.47705,"canary",4,2.18,0.014310181,0.464639869,2.8,3,596,0.61988
"112","bird","bluebird",28,1,3,2.572,0.388802488,388.8024883,-0.35564,"bluebird",7,1.6,0.020761691,0.474988999,3.35,2,596,0.61988
"113","bird","bluebird",76,9,3,1.522,0.657030223,657.0302234,-1.01835,"bluebird",7,1.6,0.020761691,0.474988999,3.35,2,596,0.61988
"114","bird of prey","eagle",38,16,1,1.652,0.605326877,605.3268765,-0.5841,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"115","bird of prey","eagle",35,8,1,3.362,0.297441999,297.4419988,0.14567,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"116","bird of prey","eagle",50,14,1,9.206,0.10862481,108.6248099,2.0715,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"117","bird of prey","eagle",56,12,1,3.013,0.331895121,331.8951211,0.44787,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"118","bird of prey","eagle",65,31,1,3.259,0.30684259,306.8425898,-0.09065,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"119","bird of prey","eagle",74,7,1,1.722,0.580720093,580.7200929,-0.74194,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"120","bird of prey","eagle",26,24,1,2.242,0.44603033,446.0303301,-0.61821,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"121","bird of prey","eagle",23,23,1,2.01,0.497512438,497.5124378,-0.38672,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"122","bird of prey","eagle",20,31,1,3.395,0.29455081,294.55081,0.73461,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"123","bird of prey","eagle",32,33,1,1.725,0.579710145,579.7101449,-0.79585,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"124","bird of prey","eagle",44,30,1,5.678,0.176118352,176.1183515,0.11295,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"125","bird of prey","eagle",47,3,1,3.811,0.262398321,262.3983207,-0.07247,"eagle",18,2.77,0.0370991,0.273233462,1.7,2,1808.05,1.80805
"126","bird of prey","owl",62,10,1,3.152,0.317258883,317.2588832,-0.16841,"owl",10,2.46,0.070617659,0.277091886,1.15,1,1808.05,1.80805
"127","bird of prey","falcon",68,31,1,5.012,0.199521149,199.5211492,0.64598,"falcon",9,2.23,0.053082356,0.364619654,2.15,2,1808.05,1.80805
"128","bird of prey","buzzard",17,16,1,3.017,0.331455088,331.4550878,-0.39229,"buzzard",3,1.97,0.034469191,0.429994329,1.9,2,1808.05,1.80805
"129","boat","yacht",51,26,2,1.514,0.660501982,660.5019815,-0.81194,"yacht",8,2.62,0.096030432,0.346755978,1.25,1,549.78,0.61988
"130","boat","sailing",60,19,2,10.367,0.096459921,96.4599209,2.26699,"sailboat",8,2.68,0.057082618,0.274440323,1.2,2,549.78,0.61988
"131","boat","ferry",33,23,2,2.9,0.344827586,344.8275862,-0.61608,"ferry",8,2.44,0.042253106,0.311944727,1,2,549.78,0.61988
"132","boat","speedboat",78,29,2,2.679,0.37327361,373.2736096,-0.62374,"speedboat",6,1.45,0.023084995,0.542828853,3.7,2,549.78,0.61988
"133","boat","sailing",36,26,2,2.584,0.386996904,386.996904,-0.28438,"sailboat",8,2.68,0.057082618,0.274440323,1.2,2,549.78,0.61988
"134","boat","sailing",63,22,2,1.499,0.667111408,667.1114076,-0.89393,"sailboat",8,2.68,0.057082618,0.274440323,1.2,2,549.78,0.61988
"135","boat","yacht",39,34,2,3.998,0.250125063,250.1250625,0.30698,"yacht",8,2.62,0.096030432,0.346755978,1.25,1,549.78,0.61988
"136","boat","ship",57,30,2,4.841,0.206568891,206.5688907,1.22971,"ship",7,3.7,0.065492563,0.212551813,1,1,549.78,0.61988
"137","boat","sailing",48,34,2,4.898,0.204164965,204.1649653,2.53172,"sailboat",8,2.68,0.057082618,0.274440323,1.2,2,549.78,0.61988
"138","boat","ship",45,33,2,9.695,0.103145952,103.1459515,1.67437,"ship",7,3.7,0.065492563,0.212551813,1,1,549.78,0.61988
"139","boat","yacht",69,31,2,2.418,0.41356493,413.5649297,-0.38997,"yacht",8,2.62,0.096030432,0.346755978,1.25,1,549.78,0.61988
"140","boat","speedboat",18,38,2,3.935,0.254129606,254.1296061,-0.16707,"speedboat",6,1.45,0.023084995,0.542828853,3.7,2,549.78,0.61988
"141","boat","speedboat",21,4,2,3.508,0.285062714,285.0627138,-0.21082,"speedboat",6,1.45,0.023084995,0.542828853,3.7,2,549.78,0.61988
"142","boat","canoe",54,3,2,10.664,0.093773443,93.77344336,1.87602,"canoe",7,2.26,0.043181137,0.403642279,1.85,2,549.78,0.61988
"143","body of water","sea",72,36,2,1.708,0.585480094,585.4800937,-0.66274,"sea",15,3.48,0.080067633,0.177681111,1,1,1762.88,1.80805
"144","body of water","puddle",69,36,2,3.48,0.287356322,287.3563218,0.0921,"puddle",7,2,0.213826295,0.534171963,1.35,2,1762.88,1.80805
"145","body of water","sea",24,23,2,8.461,0.118189339,118.1893393,0.90351,"sea",15,3.48,0.080067633,0.177681111,1,1,1762.88,1.80805
"146","body of water","river",63,17,2,4.174,0.239578342,239.5783421,0.53837,"river",12,3.45,0.099304027,0.230637569,1.55,2,1762.88,1.80805
"147","body of water","river",60,10,2,5.576,0.179340029,179.3400287,0.45928,"river",12,3.45,0.099304027,0.230637569,1.55,2,1762.88,1.80805
"148","body of water","lake",39,29,2,2.207,0.453103761,453.1037608,-0.41024,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"149","body of water","lake",75,20,2,2.128,0.469924812,469.924812,-0.28639,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"150","body of water","ocean",33,32,2,4.004,0.24975025,249.7502498,-0.38419,"ocean",13,3.189,0.056467739,0.282572869,1.7,2,1762.88,1.80805
"151","body of water","ocean",54,27,2,7.114,0.140567894,140.5678943,0.77406,"ocean",13,3.189,0.056467739,0.282572869,1.7,2,1762.88,1.80805
"152","body of water","lake",78,13,2,2.112,0.473484848,473.4848485,-0.98831,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"153","body of water","lake",30,38,2,1.553,0.643915003,643.9150032,-0.69282,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"154","body of water","sea",51,27,2,2.38,0.420168067,420.1680672,-0.32412,"sea",15,3.48,0.080067633,0.177681111,1,1,1762.88,1.80805
"155","body of water","lake",42,21,2,1.628,0.614250614,614.2506143,-0.71819,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"156","body of water","canal",21,17,2,3.704,0.269978402,269.9784017,-0.0956,"canal",4,2.51,0.152407739,0.356405744,2.25,2,1762.88,1.80805
"157","body of water","lake",36,32,2,2.507,0.398883127,398.8831272,-0.33726,"lake",13,3.26,0.085468487,0.295317837,1,1,1762.88,1.80805
"158","body of water","sea",48,13,2,1.568,0.637755102,637.755102,-0.90659,"sea",15,3.48,0.080067633,0.177681111,1,1,1762.88,1.80805
"159","book genre","fantasy",60,2,2,2.604,0.384024578,384.0245776,-0.6621,"fantasy",7,2.92,0.07923987,0.320869969,2.65,3,1318.88,1.12562
"160","book genre","fiction",42,18,2,1.814,0.551267916,551.2679162,-0.53512,"fiction",12,2.49,0.060694534,0.299150414,1.8,2,1318.88,1.12562
"161","book genre","fantasy",54,11,2,3.616,0.276548673,276.5486726,-0.31176,"fantasy",7,2.92,0.07923987,0.320869969,2.65,3,1318.88,1.12562
"162","book genre","horror",51,6,2,1.734,0.576701269,576.7012687,-0.68801,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"163","book genre","crime",69,7,2,2.178,0.459136823,459.1368228,-0.49892,"crime",6,3.56,0.073803711,0.265961426,1.45,1,1318.88,1.12562
"164","book genre","science fiction",30,16,2,2.559,0.390777648,390.7776475,-0.25216,"science fiction",5,3.345273775,0.14582594,0.200667352,3.65,3,1318.88,1.12562
"165","book genre","novel",75,35,2,2.43,0.411522634,411.5226337,-0.22127,"novel",2,2.71,0.026382775,0.267888305,1.8,2,1318.88,1.12562
"166","book genre","romance",18,30,2,2.755,0.362976407,362.9764065,-0.56668,"romance",14,2.9,0.179171383,0.314897538,2.75,2,1318.88,1.12562
"167","book genre","horror",33,21,2,4.216,0.237191651,237.1916509,-0.33966,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"168","book genre","fiction",21,10,2,3.538,0.282645562,282.6455625,-0.19319,"fiction",12,2.49,0.060694534,0.299150414,1.8,2,1318.88,1.12562
"169","book genre","horror",39,4,2,1.849,0.540832883,540.8328826,-0.5536,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"170","book genre","romance",48,31,2,3.84,0.260416667,260.4166667,1.43931,"romance",14,2.9,0.179171383,0.314897538,2.75,2,1318.88,1.12562
"171","book genre","romance",27,33,2,2.805,0.356506239,356.5062389,-0.4831,"romance",14,2.9,0.179171383,0.314897538,2.75,2,1318.88,1.12562
"172","book genre","crime",36,18,2,3.035,0.329489292,329.4892916,0.02538,"crime",6,3.56,0.073803711,0.265961426,1.45,1,1318.88,1.12562
"173","book genre","horror",57,5,2,2.695,0.371057514,371.0575139,-0.28271,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"174","book genre","horror",78,25,2,2.519,0.39698293,396.9829297,-0.72662,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"175","book genre","horror",72,7,2,2.551,0.392003136,392.003136,-0.35625,"horror",10,2.67,0.087667092,0.304029967,1.65,2,1318.88,1.12562
"176","breed of dog","chihuahua",35,11,1,4.014,0.249128052,249.1280518,0.47234,"chihuahua",11,1.86,0.044173994,0.496115921,3.95,3,1823.16,0.596
"177","breed of dog","labrador",56,11,1,1.787,0.55959709,559.5970901,-0.4613,"labrador",15,1.45,0.022570462,0.448926585,3.85,3,1823.16,0.596
"178","breed of dog","labrador",59,28,1,3.543,0.282246684,282.2466836,-0.34366,"labrador",15,1.45,0.022570462,0.448926585,3.85,3,1823.16,0.596
"179","breed of dog","rottweiler",53,21,1,3.064,0.326370757,326.3707572,0.14652,"rottweiler",3,NA,NA,0.50390066,NA,NA,1823.16,0.596
"180","breed of dog","golden retriever",38,36,1,1.677,0.596302922,596.3029219,-0.5692,"golden retriever",11,3.084147874,0.010230929,0.257307313,5.45,5,1823.16,0.596
"181","breed of dog","chihuahua",26,12,1,3.596,0.278086763,278.0867631,0.00203,"chihuahua",11,1.86,0.044173994,0.496115921,3.95,3,1823.16,0.596
